Configuration, CPU_Usage, Mem_Usage, IO_Usage, Duration
Program_A_Scaling_cpu_2, 87.55, 0, 14.31, 5.206873134
Program_A_Scaling_mem_2, 98.14, 6.51, 15.49, 62.346426679
Program_A_Scaling_io_2, 77.86, 0, 16.83, 4.264509481
Program_A_Scaling_cpu_3, 100.05, 0, 16.93, 6.905597163
Program_A_Scaling_mem_3, 108.37, 10.88, 17.16, 94.155436464
Program_A_Scaling_io_3, 100.21, 0, 17.21, 6.595089225
Program_A_Scaling_cpu_4, 99.20, 0, 17.21, 9.627206628
Program_A_Scaling_mem_4, 157.41, 21.22, 17.30, 127.137747050
Program_A_Scaling_io_4, 127.23, 0, 17.32, 8.014183240
Program_A_Scaling_cpu_5, 128.98, 0, 17.32, 12.311241784
Program_A_Scaling_mem_5, 187.11, 30.86, 17.41, 162.643245673
Program_A_Scaling_io_5, 141.92, 0, 17.43, 10.250595136
Program_B_Scaling_cpu_2, 88.57, 0, 17.44, 5.114614524
Program_B_Scaling_mem_2, 98.45, 6.42, 17.53, 69.220747552
Program_B_Scaling_io_2, 74.63, 0, 17.54, 4.250638023
Program_B_Scaling_cpu_3, 91.71, 0, 17.54, 7.771909236
Program_B_Scaling_mem_3, 97.48, 9.69, 17.60, 93.647317685
Program_B_Scaling_io_3, 80.28, 0, 17.60, 6.725445951
Program_B_Scaling_cpu_4, 92.26, 0, 17.60, 9.797437947
Program_B_Scaling_mem_4, 97.65, 12.88, 17.67, 135.227034934
Program_B_Scaling_io_4, 84.86, 0, 17.67, 8.125403062
Program_B_Scaling_cpu_5, 94.41, 0, 17.72, 13.442289463
Program_B_Scaling_mem_5, 97.89, 16.17, 17.79, 159.572468775
Program_B_Scaling_io_5, 85.96, 0, 17.79, 10.263331426
Program_B_Scaling_cpu_6, 100.06, 0, 17.86, 14.974145814
Program_B_Scaling_mem_6, 99.14, 19.33, 17.90, 192.627153175
Program_B_Scaling_io_6, 85.35, 0, 17.91, 12.208177130
Program_B_Scaling_cpu_7, 96.59, 0, 17.99, 18.445183152
Program_B_Scaling_mem_7, 99.37, 22.71, 18.01, 227.713905632
Program_B_Scaling_io_7, 89.59, 0, 17.99, 14.596950330
Program_B_Scaling_cpu_8, 95.68, 0, 18.11, 22.831147806
Program_B_Scaling_mem_8, 97.90, 25.81, 18.15, 293.555892475
Program_B_Scaling_io_8, 90.97, 0, 18.14, 29.330508543
