implementation,msg_size,threads,cpu_cycles,l1_misses,llc_misses,context_switches
two_copy,1024,1,3534204433,61018298,165046,89067
two_copy,1024,2,8471739629,140193774,185559,199085
two_copy,1024,4,17715556569,260439372,259865,333846
two_copy,1024,8,28273135343,405115353,372031,534524
two_copy,4096,1,4433526806,98413687,165859,87001
two_copy,4096,2,9623770333,191379048,247700,165793
two_copy,4096,4,19612426716,335574730,378615,276376
two_copy,4096,8,19769533605,342753310,457476,283639
two_copy,16384,1,4328019630,166022002,177906,73346
two_copy,16384,2,9226991493,314947102,285309,137497
two_copy,16384,4,14930526778,420796154,483008,185458
two_copy,16384,8,19420101973,523023197,801227,248657
two_copy,65536,1,7255172477,468900573,4413061,3442
two_copy,65536,2,12373100233,484769083,21759520,12606
two_copy,65536,4,13518326676,433846258,34745891,4780
two_copy,65536,8,13631699248,461315069,41527844,6552
one_copy,1024,1,3561178133,60106832,149514,87241
one_copy,1024,2,7979812586,127042019,205887,174566
one_copy,1024,4,16969567909,237180605,305160,297878
one_copy,1024,8,20519454139,288741039,340670,370984
one_copy,4096,1,4486849183,104433781,134811,93393
one_copy,4096,2,10012022068,206154594,215799,176950
one_copy,4096,4,16012259271,273904952,327725,222940
one_copy,4096,8,21538884535,370627032,344325,303947
one_copy,16384,1,4912728151,193524384,158895,84547
one_copy,16384,2,12480471717,460587471,345774,93052
one_copy,16384,4,14848076191,410577002,418033,179942
one_copy,16384,8,21272729986,575106556,611429,273611
one_copy,65536,1,6363464011,371898024,8687259,1811
one_copy,65536,2,10102261434,373569663,20647199,7872
one_copy,65536,4,12011473704,391149611,33586542,6459
one_copy,65536,8,14436063411,509582111,37848509,22050
zero_copy,1024,1,3692911095,49607671,168817,52963
zero_copy,1024,2,7865446659,100551496,251759,104260
zero_copy,1024,4,15477176594,187774255,339264,178801
zero_copy,1024,8,21858871409,269294156,376284,265360
zero_copy,4096,1,4104185916,64186836,194656,53042
zero_copy,4096,2,8903458396,128371165,290012,102255
zero_copy,4096,4,16068606642,221262802,304860,167002
zero_copy,4096,8,19061799152,269423284,398058,206529
zero_copy,16384,1,4338528037,109729293,196928,48915
zero_copy,16384,2,9578325216,233501535,233945,103187
zero_copy,16384,4,16505186613,352242818,329592,150292
zero_copy,16384,8,20032605066,438068619,556211,191514
zero_copy,65536,1,7973077586,302944765,634073,495
zero_copy,65536,2,11896355992,407035869,10678011,338
zero_copy,65536,4,15898504820,330645558,10308488,9110
zero_copy,65536,8,19863563434,321913177,7286868,41433
